Perfil,Personas
Analítico,3
Analítico,3
Analítico,3
Analítico,3
Analítico,3
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,9
Analítico,9
Analítico,9
Analítico,9
Analítico,9
Analítico,3
Analítico,3
Analítico,3
Analítico,3
Analítico,3
Analítico,7
Analítico,7
Analítico,7
Analítico,7
Analítico,7
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,3
Analítico,3
Analítico,3
Analítico,3
Analítico,3
Analítico,9
Analítico,9
Analítico,9
Analítico,9
Analítico,9
Analítico,22
Analítico,22
Analítico,22
Analítico,22
Analítico,22
Analítico,5
Analítico,5
Analítico,5
Analítico,5
Analítico,5
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,1
Analítico,30
Analítico,30
Analítico,30
Analítico,30
Analítico,30
Analítico,4
Analítico,4
Analítico,4
Analítico,4
Analítico,4
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Analítico,2
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,3
Comunicador,3
Comunicador,3
Comunicador,3
Comunicador,3
Comunicador,10
Comunicador,10
Comunicador,10
Comunicador,10
Comunicador,10
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,4
Comunicador,4
Comunicador,4
Comunicador,4
Comunicador,4
Comunicador,8
Comunicador,8
Comunicador,8
Comunicador,8
Comunicador,8
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,5
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,6
Comunicador,6
Comunicador,6
Comunicador,6
Comunicador,6
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,2
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Comunicador,1
Creativo,2
Creativo,2
Creativo,2
Creativo,2
Creativo,2
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,2
Creativo,2
Creativo,2
Creativo,2
Creativo,2
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,4
Creativo,4
Creativo,4
Creativo,4
Creativo,4
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,9
Creativo,9
Creativo,9
Creativo,9
Creativo,9
Creativo,4
Creativo,4
Creativo,4
Creativo,4
Creativo,4
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,3
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,1
Creativo,12
Creativo,12
Creativo,12
Creativo,12
Creativo,12
Creativo,2
Creativo,2
Creativo,2
Creativo,2
Creativo,2
Planificador,1
Planificador,1
Planificador,1
Planificador,1
Planificador,1
Planificador,3
Planificador,3
Planificador,3
Planificador,3
Planificador,3
Planificador,5
Planificador,5
Planificador,5
Planificador,5
Planificador,5
Planificador,11
Planificador,11
Planificador,11
Planificador,11
Planificador,11
Planificador,6
Planificador,6
Planificador,6
Planificador,6
Planificador,6
Planificador,8
Planificador,8
Planificador,8
Planificador,8
Planificador,8
Planificador,1
Planificador,1
Planificador,1
Planificador,1
Planificador,1
Planificador,3
Planificador,3
Planificador,3
Planificador,3
Planificador,3
Planificador,2
Planificador,2
Planificador,2
Planificador,2
Planificador,2
Planificador,1
Planificador,1
Planificador,1
Planificador,1
Planificador,1
Planificador,3
Planificador,3
Planificador,3
Planificador,3
Planificador,3
Planificador,22
Planificador,22
Planificador,22
Planificador,22
Planificador,22
Planificador,5
Planificador,5
Planificador,5
Planificador,5
Planificador,5
Planificador,4
Planificador,4
Planificador,4
Planificador,4
Planificador,4
Planificador,2
Planificador,2
Planificador,2
Planificador,2
Planificador,2
Planificador,17
Planificador,17
Planificador,17
Planificador,17
Planificador,17
Planificador,2
Planificador,2
Planificador,2
Planificador,2
Planificador,2
